category,partner,dataset,slug,region,canDownload,canSample,timePartitioned,dateStart,dateEnd,rowCount,columns,sizeBytes,fileType,summary
Company Insights,BrightQuery,Industry,industry,United States,True,True,False,,,31620,156,29588992,csv,"Financials & Employment database presented in a comprehensive time series format, covering all U.S. employers within an aggregated and segmented dataset. It includes over 20 detailed financial line it"
Company Insights,BrightQuery,Legal Entity,legal-entity,United States,True,True,False,,,1386531,75,178899456,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies.    "
Company Insights,BrightQuery,New Company Formations,new-company-formations,United States,True,True,False,,,100360,4,369664,csv,"Statistical counts of new legal entity filings in the United States, aggregated monthly by state from 2010 to present. Supports research applications including company and entity formation analysis, u"
Company Insights,BrightQuery,Occupational Wage Data,occupational-wage-data,United States,True,True,False,,,25536552,33,1149165568,csv,"Comprehensive occupational wage data covering all US occupational wages in an aggregated format. Includes over 800 occupations with calculated metrics such as means, medians, deciles, standard deviati"
Company Insights,BrightQuery,Revenue Range,revenue-range,United States,True,True,False,,,29958816,40,2222568960,csv,"Statistical data of all US-based companies with full-time employment. Rows are statistically aggregated by companies that share the same sector, industry, state, and revenue ranges.    Attributes incl"
Company Insights,BrightQuery,Sector,sector,United States,True,True,False,,,600,310,903168,csv,"Financials & Employment database presented in a comprehensive time series format, covering all U.S. employers within an aggregated and segmented dataset. It includes over 20 detailed financial line it"
Company Insights,BrightQuery,Stock Class,stock-class,United States,False,True,False,,,1478615,17,64398336,csv,"Comprehensive capital structure, filing history, and corporate events for all private companies with an ultimate parent in Delaware, constituting approximately two-thirds of large companies. Includes "
Company Insights,BrightQuery,Stock Event Timeline,stock-event-timeline,United States,True,True,False,,,1963609,7,45292032,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies. Fro"
Company Insights,BrightQuery,Stock Group,stock-group,United States,True,True,False,,,1137654,12,45961216,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies. Fro"
Company Insights,BrightQuery,Stock Group - Most Recent,stock-group-most-recent,United States,True,True,False,,,342962,9,10906112,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies. Fro"
Company Insights,BrightQuery,Stock Time Series,stock-time-series,United States,True,True,False,,,422987,7,22409728,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies.    "
Company Insights,BrightQuery,Stock Time Series - Daily,stock-time-series-daily,United States,True,True,False,,,1325689077,11,6481200640,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies.    "
Company Insights,BrightQuery,Stock Time Series - Most Recent,stock-time-series-most-recent,United States,True,True,False,,,405964,13,20303360,csv,"This dataset provides the capital structure, filing history, and corporate events tied to all private companies with an ultimate parent in Delaware, which constitutes about 2/3 of large companies.    "
Company Insights,Capology,Professional Football Salary Data,professional-football-salary-data,Global,True,True,False,,,151916,33,9605120,csv,"Salary data for the biggest leagues in the world and their second divisions. This includes, but not limited to England (Premier League, Championship), Italy (Serie A, Serie B), Spain (La Liga, La Liga"
Company Insights,LinkUp,Company Analytics,Company-Analytics,Global,True,True,True,2007-08-03,2026-05-11,123346039,7,0,parquet,"Company Analytics from LinkUp aggregates job listing data at the company level. The LinkUp job listing dataset, sourced through a proprietary process directly from employer websites for accuracy and t"
Company Insights,LinkUp,Company and Ticker Reference,company-and-ticker-reference,Global,True,True,False,,,200942,7,0,parquet,"This cross-reference table links the company_id from LinkUp to ticker symbols across global exchanges. The company_id serves as the foreign key for joining, supporting multiple exchanges and ticker fo"
Company Insights,LinkUp,Job Records,job-records,Global,True,True,True,2007-08-03T04:44:00,2026-05-11T16:58:00,342018805,15,0,parquet,Job Records data is job posting data sourced through LinkUp's proprietary process directly from employer websites for superior accuracy and timeliness. The Job Records dataset includes enhanced analys
Company Insights,LinkUp,ONET Taxonomy,onet-taxonomy,Global,True,True,False,,,342613141,2,0,parquet,"ONET is the primary source for standardized occupation information in the US for over 1,000 occupations covering the entire global dataset. The ONet 2019 Taxonomy file offers the latest ONet code for "
Company Insights,LinkUp,Ticker Analytics,ticker-analytics,Global,True,True,True,2007-08-03,2026-05-11,25615987,6,0,parquet,"Ticker Analytics from LinkUp aggregates job listing data at the ticker level. The LinkUp job listing dataset, sourced through a proprietary process directly from employer websites for accuracy and tim"
Company Insights,People Data Labs,Affiliated Profile,affiliated-profile,Global,False,True,False,,,342393,2,0,parquet,A reference table containing affiliated profile. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Alternative Domain,alternative-domain,Global,False,True,False,,,6327446,2,0,parquet,A reference table containing alternative domains. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Alternative Name,alternative-name,Global,False,True,False,,,3047716,2,0,parquet,A reference table containing alternative names. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Average Tenure by Level,average-tenure-by-level,Global,True,True,False,,,281627960,3,0,parquet,A reference table containing average tenure and level. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Average Tenure by Role,average-tenure-by-role,Global,False,True,False,,,647744308,3,0,parquet,A reference table containing average tenure and role. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Certification,Certification,Global,True,True,False,,,303546507,5,0,csv,A reference table containing certifications obtained by an individual. The `person_id` field is used as a foreign key reference to the `person_id` in the `Person` table to track educational qualificat
Company Insights,People Data Labs,Company Insights,company-insights,Global,True,True,False,,,74691831,32,0,parquet,"Complete, worldwide company database of over 30 million businesses. Includes basic company information such as name, location, category, and industry, along with a number of aggregated trends such as "
Company Insights,People Data Labs,Country,country,Global,True,True,False,,,839133017,2,0,csv,A reference table containing country. The `person_id` field is used as a foreign key reference to the `person_id` in the `person` table.
Company Insights,People Data Labs,Degree,degree,Global,True,True,False,,,475306746,2,0,csv,A normalized reference table containing standardized academic degree classifications. The `education_id` field is used as a foreign key reference to the `id` in the `education` table to track educatio
Company Insights,People Data Labs,Direct Subsidiary,direct-subsidiary,Global,False,True,False,,,136813,2,0,parquet,"The subsidiary company values will be the ID of the company. If no subsidiaries are found, the value will be null."
Company Insights,People Data Labs,Employee Churn Rate,employee-churn-rate,Global,True,True,False,,,74691830,5,0,parquet,This is a representation of net employee turnover. The churn rate is rounded to four decimal points and is always greater than or equal to 0. If the company had 0 employees or did not exist at the sta
Company Insights,People Data Labs,Employee Count by Country,employee-count-by-country,Global,False,True,False,,,55761643,5,0,parquet,A reference table containing employee count by country. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Employee Count by Month,employee-count-by-month,Global,True,True,False,,,3172118907,3,0,parquet,A reference table containing employee count by month. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Employee Count by Month by Level,employee-count-by-month-by-level,Global,True,True,False,,,19090006300,4,0,parquet,"A reference table containing employee counts by month, by level. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table."
Company Insights,People Data Labs,Employee Count by Month by Role,employee-count-by-month-by-role,Global,True,True,False,,,76130853768,4,0,parquet,A reference table containing employee counts by role by month. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Employee Growth Rate,employee-growth-rate,Global,False,True,False,,,74691830,5,0,parquet,"A reference table containing growth rates for 3, 6, 12, and 24 month periods. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table."
Company Insights,People Data Labs,Employee Growth Rate 12 Month by Role,employee-growth-rate-12-month-by-role,Global,True,True,False,,,675907104,3,0,parquet,A reference table containing employee 12 month growth rate. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Experience Title Level,experience-title-level,Global,True,True,False,,,434004107,2,0,csv,A reference table containing experience job levels. The `experience_id` field is used as a foreign key reference to the `id` in the `Experience` table to determine these.
Company Insights,People Data Labs,Funding Stage,funding-stage,Global,False,True,False,,,476036,2,0,parquet,A reference table containing funding stage. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Gross Additions by Month,gross-additions-by-month,Global,False,True,False,,,2697431662,3,0,parquet,A reference table containing additions by month. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.    This insight shows the total number of employe
Company Insights,People Data Labs,Gross Departures by Month,gross-departures-by-month,Global,False,True,False,,,1887720448,3,0,parquet,A reference table containing departures by month. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Interest,interest,Global,True,True,False,,,302072882,2,0,csv,The person's self-reported interests. The `person_id` field is used as a foreign key reference to the `person_id` in the `Person` table to associate these interest with an individual.
Company Insights,People Data Labs,Job Title Level,job-title-level,,True,True,False,,,137683191,2,0,csv,The derived level(s) of the person's current job title. The `person_id` field is used as a foreign key reference to the `person_id` in the `Person` table to associate these.
Company Insights,People Data Labs,Linkedin Profile,linkedin-profile,Global,False,True,False,,,157934101,2,0,parquet,A reference table containing LinkedIn profile. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Location,location,Global,True,True,False,,,74691830,11,0,parquet,"A reference table containing company location details (postal code, address, country, etc.). The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table."
Company Insights,People Data Labs,Location Name,location-name,,True,True,False,,,846548700,2,0,parquet,"The location (city, state, and country) of the person's current address. The `person_id` field is used as a foreign key reference to the `person_id` in the `Person` table."
Company Insights,People Data Labs,Minor,minor,,True,True,False,,,2354966,2,0,csv,All minors the person earned at the school. The `education_id` field is used as a foreign key reference to the `id` in the `education` table to associate these majors.
Company Insights,People Data Labs,NAICS,naics,Global,True,True,False,,,8258969,7,0,parquet,"A reference table containing NAICS code, sector, and industry details. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table."
Company Insights,People Data Labs,Person,person,Global,True,True,False,,,812344824,55,0,csv,"50+ years of people-based data including job history, education history, associated addresses, social media handles, contact information, and more."
Company Insights,People Data Labs,Profile,profile,,True,True,False,,,939968491,2,0,csv,Social network type. The `person_id` field is used as a foreign key reference to the `person_id` in the `Person` table to associate these social network type.
Company Insights,People Data Labs,Recent Exec Departure,recent-exec-departure,Global,False,True,False,,,194973,12,0,parquet,"A reference table containing recent executive departure, job title role, and new company. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table."
Company Insights,People Data Labs,Recent Exec Hire,recent-exec-hire,Global,False,True,False,,,232002,12,0,csv,"The profiles of all of CXOs, owners and VPs that have joined the company in the last three months.  The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table"
Company Insights,People Data Labs,SIC,sic,Global,False,True,False,,,7268105,5,0,parquet,A reference table containing the industry classifications for a company according to the Standard Industrial Classification (SIC) system. A company can (and frequently does) have multiple SIC codes.  
Company Insights,People Data Labs,Skill,skill,Global,True,True,False,,,3419040263,2,0,parquet,The person's self-reported skills. The `person_id` field is used as a foreign key reference to the `person_id` in the `Person` table to associate these skills with an individual.
Company Insights,People Data Labs,Subsidiary,subsidiary,Global,False,True,False,,,174866,2,0,parquet,"A reference table containing subsidiaries. The subsidiary company values will be the ID of the company. If no subsidiaries are found, the value will be null.    The `company_id` field is used as a for"
Company Insights,People Data Labs,Tag,tag,Global,False,True,False,,,63416765,2,0,parquet,"A reference table containing tag. Each tag is a lowercase string.    There may be tags that seem to overlap (for example: ""data"", ""analytics"" and ""data and analytics""). This is intentional so that it "
Company Insights,People Data Labs,Top Next Employer by Role,top-next-employer-by-role,Global,False,True,False,,,341551821,5,0,parquet,A reference table containing next employer count by role. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,People Data Labs,Top Previous Employer 12 Month,top-previous-employer-12-month,Global,False,True,False,,,26962223,5,0,parquet,"The top ten previous employers, counting only employee changes within the last 12 months."
Company Insights,People Data Labs,Top Previous Employer by Role,top-previous-employer-by-role,Global,False,True,False,,,376756857,5,0,parquet,"The top ten previous companies employees are broken down by job role.    Companies are listed using their PDL Company ID.    The first list of companies will be under the ""all"" key. This represents th"
Company Insights,People Data Labs,Top US Employee Metro,top-us-employee-metro,United State,False,True,False,,,10720404,4,0,parquet,A reference table containing top employee metros and 12 month growth rates. The `company_id` field is used as a foreign key reference to the `company_id` in the `company` table.
Company Insights,Rhetorik,Company Data,company-data,Global,True,True,False,,,290418095,78,61640398336,csv,"Data from over 200 million+ companies globally. From basic company information like standard IDs, creation dates, and domains to financial information and data on the technologies used."
Company Insights,Rhetorik,Office Data,office-data,Global,True,True,False,,,291871453,49,71414440448,csv,"Data on the offices for more than 200 million companies globally. Details include the type of office space, the number of contacts within the office, phone services and more."
Company Insights,WageScape,Job Postings with Salary,job-postings-with-salary,US,True,True,True,2016-04-25,2025-03-01,323577862,25,0,parquet,"Individual level job postings data containing posting-level information on current and historical job postings such as posting date, location, role, and salary, as well as the raw full text of each po"
Company Insights,WageScape,Role Mapping,role-mapping,US,True,True,False,,,17499521,9,173249024,csv,Normalized role data including job family assignment and US government occupational code assignment (US jobs only). Role_primary assignments are 1:1.    Join this file to WageScape's Salary and Compen
Company Insights,WageScape,Time Log,time-log,US,True,True,False,,,4784719,5,39604224,csv,Detailed information about the open/close dates of the roles. This file is helpful for calculating how long each role was open.
Company Insights,WageScape,Titles,titles,US,True,True,False,,,116496316,3,1385318400,csv,All titles mapped to a job listing. Titles are taken as-written from all sources. Title mapping is 1:Many.
Consumer Transactions,ConsumerEdge,"Brand Detail (URL, Etc.)",brand-detail-url-etc,United States,True,True,False,,,13878,7,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Brand and Demographic Cohort Breakout,brand-and-demographic-cohort-breakout,United States,True,True,True,2021-01-01,2026-03-23,67262379,18,0,csv,"Credit and debit card transaction data aggregated by brand and demographic. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active mon"
Consumer Transactions,ConsumerEdge,Brand and Demographic Cohort Breakout USA 1,brand-and-demographic-cohort-breakout-usa-1,United States,True,True,True,2023-04-10,2026-04-01,42758647,18,0,csv,"Credit and debit card transaction data aggregated by brand and demographic. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active mon"
Consumer Transactions,ConsumerEdge,Brand and Geography Cohort Breakout,brand-and-geography-cohort-breakout,United States,True,True,True,2021-01-01,2026-03-23,213084700,18,0,csv,"Credit and debit card transaction data aggregated by brand and geography. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active month"
Consumer Transactions,ConsumerEdge,Brand and Geography Cohort Breakout USA 1,brand-and-geography-cohort-breakout-usa-1,United States,True,True,True,2023-04-10,2026-04-01,119413524,18,0,csv,"Credit and debit card transaction data aggregated by brand and geography. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active month"
Consumer Transactions,ConsumerEdge,Brand and Transaction Amount Range Breakout,brand-and-transaction-amount-range-breakout,United States,True,True,True,2021-01-01,2026-03-23,33341417,12,0,csv,"Credit and debit card transaction data aggregated by brand and transaction amount ranges. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 1"
Consumer Transactions,ConsumerEdge,Brand and Transaction Amount Range Breakout USA 1,brand-and-transaction-amount-range-breakout-usa-1,United States,True,True,True,2023-04-10,2026-04-01,15944125,12,0,csv,"Credit and debit card transaction data aggregated by brand and transaction amount ranges. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 1"
Consumer Transactions,ConsumerEdge,"Company Detail (Symbol, ISIN, RIC, Ownership Status, Etc.)",company-detail-symbol-isin-ric-ownership-status-etc,United States,True,True,False,,,832,7,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Cross-Shop Brand Breakout,cross-shop-brand-breakout,United States,True,True,True,2021-01-01,2026-03-23,118713604,12,0,csv,"Credit and debit card transaction data aggregated by other shopped brands. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active mont"
Consumer Transactions,ConsumerEdge,Cross-Shop Brand Breakout USA 1,cross-shop-brand-breakout-usa-1,United States,True,True,True,2023-04-10,2026-04-01,52569782,12,0,csv,"Credit and debit card transaction data aggregated by other shopped brands. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active mont"
Consumer Transactions,ConsumerEdge,Customer Return Behavior by Brand and When Customer First Shopped,customer-return-behavior-by-brand-and-when-customer-first-shopped,United States,True,True,True,2021-01-01,2026-03-23,32112686,12,0,csv,"Credit and debit card transaction data aggregated by return behavior from when customer first shopped. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12"
Consumer Transactions,ConsumerEdge,Customer Return Behavior by Brand and When Customer First Shopped USA 1,customer-return-behavior-by-brand-and-when-customer-first-shopped-usa-1,United States,True,True,True,2023-04-10,2026-04-01,10968920,12,0,csv,"Credit and debit card transaction data aggregated by return behavior from when customer first shopped. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12"
Consumer Transactions,ConsumerEdge,Daily Brand and Channel Type (Online/Offline) Breakout,daily-brand-and-channel-type-online-offline-breakout,United States,True,True,True,2018-01-01,2026-05-01,31712297,7,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Daily Spend Breakout by Brand,daily-spend-breakout-by-brand,United States,True,True,True,2018-01-01,2026-05-01,28649937,6,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Daily Spend Breakout by Brand and State,daily-spend-breakout-by-brand-and-state,United States,True,True,True,2018-01-01,2026-04-29,444681042,7,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Daily Spend Breakout by Census Region and NAICS Code,daily-spend-breakout-by-census-region-and-naics-code,United States,True,True,True,2018-01-01,2026-05-01,352756,6,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Daily Spend Breakout by Channel (Online/Offline) and NAICS Code,daily-spend-breakout-by-channel-online-offline-and-naics-code,United States,True,True,True,2018-01-01,2026-05-01,176378,6,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Daily Spend Breakout by Symbol (Ticker),daily-spend-breakout-by-symbol-ticker,United States,True,True,True,2018-01-01,2024-12-09,2016271,9,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Delivery Service Provider Credit and Debit Card Transaction Data,delivery-service-provider-credit-and-debit-card-transaction-data,United States,True,True,True,2018-01-01,2026-05-03,5317562,12,0,csv,"Consumer Edge (CE) provides data-driven insights focused on the consumer. Founded in 2009, CE is a data and insights as a service (IaaS) company delivering unparalleled views into consumer spending be"
Consumer Transactions,ConsumerEdge,Industry and Demographic Cohort Breakout USA 1,industry-and-demographic-cohort-breakout-usa-1,United States,True,True,True,2023-04-10,2026-04-01,122815,17,0,csv,"Credit and debit card transaction data aggregated by industry and demographic. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active "
Consumer Transactions,ConsumerEdge,Industry and Geography Cohort Breakout,industry-and-geography-cohort-breakout,United States,True,True,True,2021-01-01,2026-03-23,1195544,17,0,csv,"Credit and debit card transaction data aggregated by industry and geography. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active mo"
Consumer Transactions,ConsumerEdge,Industry and Geography Cohort Breakout USA1,industry-and-geography-cohort-breakout-usa1,United States,True,True,True,2023-04-10,2026-04-01,826905,17,0,csv,"Credit and debit card transaction data aggregated by industry and geography. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active mo"
Consumer Transactions,ConsumerEdge,M&A Reference Dates by Symbol and Brand,m-a-reference-dates-by-symbol-and-brand,United States,True,True,True,2013-03-26,2024-12-03,7336,7,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Same Store Sales Breakout by Symbol (Ticker) and Fiscal Period,same-store-sales-breakout-by-symbol-ticker-and-fiscal-period,United States,True,True,True,2018-01-01,2025-07-07,5599,21,0,csv,"Aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline, and 3rd-party consume"
Consumer Transactions,ConsumerEdge,Subindustry and Demographic Cohort Breakout,subindustry-and-demographic-cohort-breakout,United States,True,True,True,2021-01-01,2026-03-23,832991,17,0,csv,"Transact USA includes aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline,"
Consumer Transactions,ConsumerEdge,Subindustry and Demographic Cohort Breakout USA 1,subindustry-and-demographic-cohort-breakout-usa-1,United States,True,True,True,2023-04-10,2026-04-01,575921,17,0,csv,"Credit and debit card transaction data aggregated by sub-industry and demographic. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ act"
Consumer Transactions,ConsumerEdge,Subindustry and Geography Cohort Breakout,subindustry-and-geography-cohort-breakout,United States,True,True,True,2021-01-01,2026-03-23,5531431,17,0,csv,"Transact USA includes aggregated consumer transaction data on 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. Capturing online, offline,"
Consumer Transactions,ConsumerEdge,Subindustry and Geography Cohort Breakout USA 1,subindustry-and-geography-cohort-breakout-usa-1,United States,True,True,True,2023-04-10,2026-04-01,3793158,17,0,csv,"Credit and debit card transaction data aggregated by sub-industry and geography. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ activ"
Consumer Transactions,ConsumerEdge,Total Panel Spend Demographic Cohort Breakout,total-panel-spend-demographic-cohort-breakout,United States,True,True,True,2021-01-01,2026-03-23,6125,16,0,csv,"Credit and debit card transaction data aggregated by spend demographic. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly"
Consumer Transactions,ConsumerEdge,Total Panel Spend Demograpic Cohort Breakout USA 1,total-panel-spend-demograpic-cohort-breakout-usa-1,United States,True,True,True,2023-04-10,2026-04-01,4235,16,0,csv,"Credit and debit card transaction data aggregated by spend demographic. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly"
Consumer Transactions,ConsumerEdge,Total Panel Spend Geography Cohort Breakout,total-panel-spend-geography-cohort-breakout,United States,True,True,True,2021-01-01,2026-03-23,41650,16,0,csv,"Credit and debit card transaction data aggregated by geography type. geography and total spend . The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 month"
Consumer Transactions,ConsumerEdge,Total Panel Spend Geography Cohort Breakout USA1,total-panel-spend-geography-cohort-breakout-usa1,United States,True,True,True,2023-04-03,2026-03-23,28798,16,0,csv,"Credit and debit card transaction data aggregated by geography. The panel contains over 100M+ credit and debit cards, including 35M+ with activity in the past 12 months and 14M+ active monthly users. "
Consumer Transactions,OpenBrand,Automotive,automotive,United States,True,True,False,,,577074,201,0,parquet,"Online survey data collected in the United States on automotives. The survey utilizes unaided product and outlet capture, enabling the identification of smaller brands and retailers that may not be re"
Consumer Transactions,OpenBrand,Building/Plumbing/Electric/Safety,building-plumbing-electric-safety,United States,True,True,False,,,379163,189,0,parquet,"Online survey data collected in the United States on building/plumnbing/electric/safety. The survey utilizes unaided product and outlet capture, enabling the identification of smaller brands and retai"
Consumer Transactions,OpenBrand,Consumer Electronics,consumer-electronics,United States,True,True,False,,,3224138,204,0,parquet,"Online survey data collected in the United States on consumer electronics. The survey utilizes unaided product and outlet capture, enabling the identification of smaller brands and retailers that may "
